Ver,Group,LocalTime,Mag,Dur(sec),AV(deg/s),Loc_Cam,TZ(h),Y(UT),M(UT),D(UT),H(UT),M,S, Dir1, Alt1, Ra1, Dec1, Ra2, Dec2,alpha,delta, , , , , ,io,err1,err2,G1,dd(deg),dr(deg),Vo(km/s),dV(%),ra_m,dec_m,refs,errm,rat,dct,voo,vooerr,tmerr,sps,sN,drop
R05B25, spo,20180419_214805,3.0,0.150,3.864, CB4_35, 9.0,2018,04,19,12,48,5.860,41.0,27.1,139.572220,-16.118933,139.113754,-16.603941,63.675346,40.136311,2587043234,1439653936,1119727576,3425061778,1115666888,3,0.00570,0.00037, spo,0.0,-1.0,-1.0,-1.0,139.387054,-16.315216,58,1.90,297.39432,34.82268,24.040,-1.000,1.000,59.940,10,-1
R05B25, spo,20180419_215147,3.4,0.217,5.281, CB4_35, 9.0,2018,04,19,12,51,47.290,42.3,24.9,138.174286,-17.260096,137.447800,-18.260326,59.726112,32.802700,1080745998,204029244,1347221794,369398694,1354568984,3,0.00575,0.00067, spo,0.0,-1.0,-1.0,-1.0,137.851700,-17.705940,61,1.82,304.65439,33.69192,68.900,-1.000,1.000,59.940,14,-1
R05B25, spo,20180419_215550,3.8,0.250,4.162, CB4_35, 9.0,2018,04,19,12,55,50.110,59.6,29.0,129.779633,-4.294312,129.204544,-5.220037,42.431438,31.638807,2591557005,1439653936,1118786430,3404943662,1108895414,3,0.00572,0.00060, spo,0.0,-1.0,-1.0,-1.0,129.534851,-4.688702,62,1.89,281.10052,46.64519,14.380,-1.000,1.000,59.940,16,-1
R05B25, spo,20180419_220340,2.7,0.217,5.688, CB4_35, 9.0,2018,04,19,13,03,40.000,51.5,35.4,141.114487,-4.100621,139.880661,-4.320261,72.856857,79.046692,1079757136,204029244,1346859837,384942082,1348014093,3,0.00612,0.00229, spo,0.0,-1.0,-1.0,-1.0,140.546509,-4.201987,55,1.72,305.45639,6.13111,70.340,-1.000,1.000,59.940,15,-1
R05B25, spo,20180419_221447,4.2,0.217,6.396, CB4_35, 9.0,2018,04,19,13,14,47.790,59.6,29.6,134.920792,-3.851094,133.636673,-4.507751,52.369122,62.557930,2585134700,1439653936,1118215206,3452539413,1108669963,3,0.00582,0.00137, spo,0.0,-1.0,-1.0,-1.0,134.232346,-4.203541,55,1.69,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180419_221503,3.8,0.150,5.055, CB4_35, 9.0,2018,04,19,13,15,3.670,56.5,34.5,140.320572,-2.121468,139.743378,-2.969847,51.761181,34.164043,1079405566,204029244,1346910340,380362648,1349155993,3,0.00474,0.00103, spo,0.0,-1.0,-1.0,-1.0,140.162415,-2.354059,49,1.58,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180419_222438,2.9,0.184,5.873, CB4_35, 9.0,2018,04,19,13,24,38.730,46.8,30.5,146.470581,-10.335130,145.326370,-10.646585,89.233559,71.376976,2598069861,1439653936,1128801819,3482363223,1120890721,3,0.00640,0.00120, spo,0.0,-1.0,-1.0,-1.0,145.994202,-10.465374,40,1.87,307.41196,14.37065,67.210,-1.000,1.000,59.940,12,-1
R05B25, J5_Lyr,20180419_222449,2.0,0.250,9.411, CB4_35, 9.0,2018,04,19,13,24,49.720,62.1,27.4,134.308167,-3.831007,132.371994,-5.358238,49.121590,51.409164,1081308801,204029244,1347602354,390841935,1352321785,3,0.00652,0.00121, J5_Lyr,0.0,2.6,49.1,+2.4,133.433609,-4.522298,44,1.84,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, J5_hVi,20180419_222820,2.6,0.184,4.865, CB4_35, 9.0,2018,04,19,13,28,20.280,58.0,32.8,141.540451,-2.465876,140.613022,-2.198501,223.048859,73.741394,2587666683,1439653936,1118874410,3431236845,1123900270,3,0.00555,0.00080, J5_hVi,0.0,2.5,15.3,-29.9,141.155365,-2.354944,38,1.80,300.22839,-7.54798,34.210,-1.000,1.000,59.940,12,-1
R05B25, spo,20180419_222832,1.7,0.250,5.811, CB4_35, 9.0,2018,04,19,13,28,32.370,65.9,35.6,139.038498,4.192068,138.866180,2.670661,48.564587,6.438414,1081077092,204029244,1347037833,376256120,1347894873,2,0.00639,0.00085, spo,0.0,-1.0,-1.0,-1.0,138.972031,3.605741,41,1.94,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, spo,20180419_223034,0.7,1.185,3.782, CB4_35, 9.0,2018,04,19,13,30,34.090,59.8,23.6,134.538040,-8.002731,131.618561,-6.572902,208.664978,62.795712,2585117573,1439653936,1118177438,3453430047,1101671125,3,0.00526,0.00208, spo,0.0,-1.0,-1.0,-1.0,133.005905,-7.255828,35,1.89,0.00000,0.00000,-1.000,-1.000,1.000,59.940,59,-1
R05B25, spo,20180419_223606,2.2,0.250,6.388, CB4_35, 9.0,2018,04,19,13,36,6.890,54.1,33.8,146.559250,-3.919375,145.421722,-4.981677,60.726635,46.686771,1085935187,204029244,1371517327,368379989,1350355886,3,0.00730,0.00687, spo,0.0,-1.0,-1.0,-1.0,145.969604,-4.470629,41,1.87,161.24725,9.98227,55.570,-1.000,1.000,59.940,17,-1
R05B25, spo,20180419_223706,1.7,0.484,5.501, CB4_35, 9.0,2018,04,19,13,37,6.700,46.1,28.1,148.592438,-12.641653,146.600464,-14.572323,70.874550,43.484150,2596783913,1439653936,1129045559,3463856647,1107991041,3,0.00658,0.00063, spo,0.0,-1.0,-1.0,-1.0,147.680588,-13.531307,40,1.80,0.00000,0.00000,-1.000,-1.000,1.000,59.940,30,-1
R05B25, spo,20180419_224752,2.8,0.083,5.469, CB4_35, 9.0,2018,04,19,13,47,52.490,64.4,27.2,138.580185,-2.430007,138.407608,-2.592725,51.152199,46.599419,1080853238,204029244,1347116168,376906494,1350778914,3,0.00685,0.00065, spo,0.0,-1.0,-1.0,-1.0,138.478043,-2.526320,45,1.78,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180419_224821,2.7,0.284,3.935, CB4_35, 9.0,2018,04,19,13,48,21.060,43.2,26.1,152.362686,-15.833390,151.860580,-16.899929,69.365860,23.263603,2600323444,1439653936,1128339052,3465211502,1113807072,3,0.00713,0.00224, spo,0.0,-1.0,-1.0,-1.0,152.147217,-16.292646,51,1.92,160.22359,3.83591,37.050,-1.000,1.000,59.940,18,-1
R05B25, spo,20180419_225433,5.5,1.084,2.525, CB4_35, 9.0,2018,04,19,13,54,33.660,58.9,34.5,148.744766,-0.724175,148.774048,-0.692861,59.421814,43.071590,1084706713,204029244,1371332773,337533706,1346791062,3,-1.00000,0.05579, spo,0.0,-1.0,-1.0,-1.0,149.309601,-0.120026,0,2.58,0.00000,0.00000,-1.000,-1.000,1.000,59.940,15,-1
R05B25, J5_Lyr,20180419_225528,1.4,0.117,8.580, CB4_35, 9.0,2018,04,19,13,55,28.740,60.3,23.5,140.361649,-7.656805,139.574783,-8.399757,58.301270,45.775986,2587347801,1439653936,1119837556,3435936267,1101081371,1,0.00704,0.00251, J5_Lyr,0.0,5.3,44.5,-7.3,140.040985,-7.960080,50,1.79,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180419_225609,1.5,0.751,6.793, CB4_35, 9.0,2018,04,19,13,56,9.170,64.4,31.7,143.954254,0.608892,140.746277,-2.796420,53.381168,43.263634,1078671463,204029244,1346610253,360302076,1346190121,3,-1.00000,0.00735, spo,0.0,-1.0,-1.0,-1.0,142.817841,-0.598516,0,1.72,0.00000,0.00000,-1.000,-1.000,1.000,59.940,32,-1
R05B25, J5_hVi,20180419_225739,1.9,0.067,5.836, CB4_35, 9.0,2018,04,19,13,57,39.100,50.6,28.3,150.701157,-10.026627,150.321426,-9.964986,193.784668,76.389664,2599565375,1439653936,1129221433,3470607074,1110109611,3,0.00546,0.00154, J5_hVi,0.0,0.5,24.6,+13.0,150.511429,-9.997573,46,1.67,0.00000,0.00000,-1.000,-1.000,1.000,59.940,5,-1
R05B25, spo,20180419_225816,-0.6,0.117,4.870, CB4_35, 9.0,2018,04,19,13,58,16.170,54.3,24.6,145.856506,-10.680846,145.160233,-10.660985,154.417419,79.201622,1085673632,204029244,1346388351,362062275,1353937499,3,0.00604,0.00099, spo,0.0,-1.0,-1.0,-1.0,145.625183,-10.674418,46,1.72,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180419_230706,3.1,0.100,2.591, CB4_35, 9.0,2018,04,19,14,07,6.540,51.6,24.5,149.919006,-12.401785,149.712067,-12.441259,107.573807,73.431213,2597292070,1439653936,1129176433,3459774647,1111951624,3,0.00692,0.00103, spo,0.0,-1.0,-1.0,-1.0,149.787247,-12.426938,39,1.86,0.00000,0.00000,-1.000,-1.000,1.000,59.940,7,-1
R05B25, spo,20180419_232307,1.7,0.284,5.917, CB4_35, 9.0,2018,04,19,14,23,7.980,57.9,25.3,150.118835,-7.955592,149.342682,-8.902159,66.511497,38.544910,1085223837,204029244,1371200010,339774252,1353469898,3,0.00424,0.00475, spo,0.0,-1.0,-1.0,-1.0,149.682343,-8.488689,35,1.73,0.00000,0.00000,-1.000,-1.000,1.000,59.940,15,-1
R05B25, spo,20180419_233019,3.5,0.250,4.078, CB4_35, 9.0,2018,04,19,14,30,19.710,51.7,23.4,154.902786,-13.183456,155.282928,-14.221913,240.276978,18.998142,2599073679,1439653936,1128623385,4043605762,1102135159,3,0.00666,0.00123, spo,0.0,-1.0,-1.0,-1.0,155.048950,-13.583883,30,1.74,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, spo,20180419_233122,-1.5,0.150,8.906, CB4_35, 9.0,2018,04,19,14,31,22.420,53.7,25.2,155.016220,-10.573750,153.910477,-11.680902,75.173683,43.372154,1082958313,204029244,1370647779,728497126,1353037409,3,0.00675,0.00052, spo,0.0,-1.0,-1.0,-1.0,154.609390,-10.982541,34,1.76,0.00000,0.00000,-1.000,-1.000,1.000,59.940,10,-1
R05B25, spo,20180419_233529,4.3,0.300,2.087, CB4_35, 9.0,2018,04,19,14,35,29.880,47.9,26.8,161.150955,-12.681820,160.668732,-12.827620,106.368103,68.683662,2595292505,1439653936,1130293460,4040278678,1107532209,3,0.00521,0.00499, spo,0.0,-1.0,-1.0,-1.0,160.896408,-12.758911,31,1.70,0.00000,0.00000,-1.000,-1.000,1.000,59.940,17,-1
R05B25, J5_Lyr,20180419_233546,0.7,0.117,11.774, CB4_35, 9.0,2018,04,19,14,35,46.070,52.8,30.2,160.011307,-7.372926,158.664185,-8.362890,79.793510,52.707447,1089045868,204029244,1370216663,712685012,1345499467,3,0.00538,0.00092, J5_Lyr,0.0,3.0,46.9,-2.3,159.572083,-7.696685,30,1.83,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180419_233636,-0.3,0.317,9.356, CB4_35, 9.0,2018,04,19,14,36,36.740,60.6,34.6,158.358093,0.333839,155.233582,0.354580,288.947601,89.486908,2594099078,1439653936,1129983771,4054451843,1118634237,3,0.00682,0.00172, spo,0.0,-1.0,-1.0,-1.0,157.166046,0.341872,30,1.81,0.00000,0.00000,-1.000,-1.000,1.000,59.940,20,-1
R05B25, spo,20180419_234552,3.3,0.250,3.471, CB4_35, 9.0,2018,04,19,14,45,52.090,60.9,27.2,155.228638,-4.707134,154.984711,-5.594146,66.515190,15.252711,1083014304,204029244,1370659180,727041634,1358281296,3,0.00545,0.00105, spo,0.0,-1.0,-1.0,-1.0,155.135559,-5.045905,37,1.82,0.00000,0.00000,-1.000,-1.000,1.000,59.940,16,-1
R05B25, spo,20180419_234606,1.6,0.450,8.281, CB4_35, 9.0,2018,04,19,14,46,6.120,46.7,34.3,169.254944,-7.381353,166.948242,-4.506966,253.373703,38.342812,2640215181,1439653936,1131067224,4065599270,1128403023,3,0.00613,0.00107, spo,0.0,-1.0,-1.0,-1.0,168.216568,-6.092371,34,1.77,0.00000,0.00000,-1.000,-1.000,1.000,59.940,28,-1
R05B25, spo,20180419_234633,0.5,0.400,6.633, CB4_35, 9.0,2018,04,19,14,46,33.810,54.3,31.3,162.440491,-5.711420,159.971664,-6.870866,84.266449,63.986694,1087853268,204029244,1369942120,713977087,1344612728,3,0.00574,0.00471, spo,0.0,-1.0,-1.0,-1.0,161.285141,-6.256095,35,1.76,0.00000,0.00000,-1.000,-1.000,1.000,59.940,23,-1
R05B25, spo,20180419_235548,3.0,0.083,5.772, CB4_35, 9.0,2018,04,19,14,55,48.480,57.2,32.7,163.873962,-2.965518,163.698456,-3.215599,75.949898,34.963051,2596200649,1439653936,1129482571,4082260327,1117423183,3,0.00400,0.00354, spo,0.0,-1.0,-1.0,-1.0,163.792007,-3.082312,23,2.00,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180419_235751,3.0,0.250,5.516, CB4_35, 9.0,2018,04,19,14,57,51.540,63.4,23.6,154.147324,-5.576732,153.160675,-6.450816,70.353706,47.912888,1082635164,204029244,1370701163,721525213,1397389747,3,-1.00000,0.00045, spo,0.0,-1.0,-1.0,-1.0,153.678650,-5.993072,0,2.03,189.19490,23.88689,29.740,-1.000,1.000,59.940,16,-1
R05B25, spo,20180420_000612,3.7,0.117,9.300, CB4_35, 9.0,2018,04,19,15,06,12.540,63.7,24.3,156.518600,-4.905179,155.462006,-4.802474,205.052399,82.615372,2593392782,1439653936,1128784266,4059292471,1111804578,3,0.00626,0.00177, spo,0.0,-1.0,-1.0,-1.0,156.019226,-4.856846,31,2.08,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180420_001255,3.9,0.083,5.418, CB4_35, 9.0,2018,04,19,15,12,55.380,54.7,33.0,169.959991,-4.222209,169.731476,-4.282310,95.549164,74.639168,1193512045,204029244,1369125097,672544060,1348297981,3,0.00602,0.00103, spo,0.0,-1.0,-1.0,-1.0,169.845322,-4.252376,29,1.93,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_002335,4.3,0.350,2.119, CB4_35, 9.0,2018,04,19,15,23,35.230,57.4,29.8,168.736496,-5.024960,168.537399,-5.200166,84.396385,48.281326,2640135489,1439653936,1131048700,4089262608,1121733814,3,0.00451,0.00272, spo,0.0,-1.0,-1.0,-1.0,168.508804,-5.225317,27,1.82,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180420_002529,0.9,0.450,5.644, CB4_35, 9.0,2018,04,19,15,25,29.690,43.9,33.2,180.381271,-9.647223,177.924194,-10.438075,117.236099,69.378830,1197521576,204029244,1368186961,774446020,1348336472,3,0.00763,0.00084, spo,0.0,-1.0,-1.0,-1.0,179.281784,-10.003823,25,1.89,213.95839,0.97098,24.770,-1.000,1.000,59.940,28,-1
R05B25, J5_hVi,20180420_002714,2.5,0.250,2.029, CB4_35, 9.0,2018,04,19,15,27,14.220,38.2,35.6,186.199722,-10.140775,185.658127,-9.948483,248.360626,69.042709,2636326004,1439653936,1131735146,4150364391,1132397501,3,0.00519,0.01197, J5_hVi,0.0,1.8,21.7,-0.4,185.917694,-10.048072,20,1.72,0.00000,0.00000,-1.000,-1.000,1.000,59.940,17,-1
R05B25, spo,20180420_002755,2.4,0.300,4.985, CB4_35, 9.0,2018,04,19,15,27,55.280,52.6,32.5,174.734024,-5.652957,174.544876,-7.029639,85.503654,7.727798,1193257731,204029244,1368683194,792436090,1349217970,3,0.00679,0.00500, spo,0.0,-1.0,-1.0,-1.0,174.638885,-6.346375,20,1.74,176.28107,10.62937,52.110,-1.000,1.000,59.940,19,-1
R05B25, spo,20180420_003546,2.6,1.268,7.884, CB4_35, 9.0,2018,04,19,15,35,46.690,58.1,34.8,174.794556,-0.911131,173.746109,-0.642253,261.244843,75.594292,2642324580,1439653936,1130569665,4116663032,1128693796,3,0.00517,0.00899, spo,0.0,-1.0,-1.0,-1.0,174.261017,-0.774340,22,1.92,0.00000,0.00000,-1.000,-1.000,1.000,59.940,8,-1
R05B25, spo,20180420_004547,2.9,0.484,8.607, CB4_35, 9.0,2018,04,19,15,45,47.000,60.8,36.1,176.653885,1.505971,174.640625,-1.559765,85.665733,33.305840,1191868432,204029244,1368463362,794268016,1370841617,3,0.00514,0.00052, spo,0.0,-1.0,-1.0,-1.0,175.611740,-0.082182,27,2.07,317.65054,44.63341,27.220,-1.000,1.000,59.940,29,-1
R05B25, spo,20180420_005424,2.8,0.217,4.970, CB4_35, 9.0,2018,04,19,15,54,24.120,43.1,30.6,186.715820,-12.184258,185.538040,-12.151247,193.873474,77.722939,2636391229,1439653936,1131753981,4145565949,1123464035,3,0.00906,0.00121, spo,0.0,-1.0,-1.0,-1.0,186.263824,-12.172181,18,2.09,0.00000,0.00000,-1.000,-1.000,1.000,59.940,14,-1
R05B25, spo,20180420_010030,1.9,0.184,3.474, CB4_35, 9.0,2018,04,19,16,00,30.510,55.6,25.9,176.514633,-8.917253,175.820679,-9.225571,105.479965,64.229286,1191790820,204029244,1368575509,793789896,1358667016,3,0.00583,0.01673, spo,0.0,-1.0,-1.0,-1.0,176.142242,-9.082931,22,2.30,0.00000,0.00000,-1.000,-1.000,1.000,59.940,13,-1
R05B25, spo,20180420_011055,4.3,0.350,2.544, CB4_35, 9.0,2018,04,19,16,10,55.820,51.1,27.2,183.017410,-10.593240,182.298523,-10.199762,254.690353,59.256695,2634986539,1439653936,1132434543,4106827195,1109893538,3,0.00448,0.00185, spo,0.0,-1.0,-1.0,-1.0,182.674713,-10.405991,24,2.32,0.00000,0.00000,-1.000,-1.000,1.000,59.940,23,-1
R05B25, spo,20180420_012030,5.0,0.384,3.006, CB4_35, 9.0,2018,04,19,16,20,30.830,62.7,32.5,181.665192,0.120778,180.741913,-0.648483,91.520241,50.197716,1197945932,204029244,1368063675,778540103,1348702111,3,0.00764,0.00159, spo,0.0,-1.0,-1.0,-1.0,181.238571,-0.234695,27,4.30,355.82251,4.80389,73.000,-1.000,1.000,59.940,24,-1
R05B25, spo,20180420_012710,-0.1,1.151,5.074, CB4_35, 9.0,2018,04,19,16,27,10.030,40.9,28.3,195.177856,-15.143287,190.151230,-14.789454,208.410782,74.463364,2650244307,1439653936,1124206737,4136601452,1120410111,3,0.00636,0.00141, spo,0.0,-1.0,-1.0,-1.0,193.035812,-15.006115,27,2.12,213.96136,-16.41933,41.930,-1.000,1.000,59.940,66,-1
R05B25, spo,20180420_012822,3.2,0.083,7.633, CB4_35, 9.0,2018,04,19,16,28,22.760,62.2,22.8,177.002289,-6.933847,176.594376,-6.946816,161.952820,82.822418,1191993563,204029244,1368490419,793305745,1354557352,3,0.00439,0.00088, spo,0.0,-1.0,-1.0,-1.0,176.804932,-6.940165,24,1.80,0.00000,0.00000,-1.000,-1.000,1.000,59.940,6,-1
R05B25, spo,20180420_013127,3.1,0.551,3.272, CB4_35, 9.0,2018,04,19,16,31,27.520,47.6,29.7,192.236145,-10.568582,191.379333,-12.204665,107.596161,26.595722,2646896583,1439653936,1124962792,4127238707,1122693936,3,0.00638,0.00099, spo,0.0,-1.0,-1.0,-1.0,191.817612,-11.370428,24,2.00,11.73190,28.27919,12.000,-1.000,1.000,59.940,34,-1
R05B25, J5_Lyr,20180420_013758,5.3,0.083,13.435, CB4_35, 9.0,2018,04,19,16,37,58.010,54.7,29.1,188.618500,-7.076921,187.581909,-7.808402,108.416672,53.888657,1202759070,204029244,1375691037,764714181,1344682080,3,-1.00000,0.00157, J5_Lyr,0.0,0.7,49.7,+3.5,188.217575,-7.360411,0,1.85,0.00000,0.00000,-1.000,-1.000,1.000,59.940,7,-1
R05B25, spo,20180420_014348,4.5,1.201,3.893, CB4_35, 9.0,2018,04,19,16,43,48.660,47.9,28.2,194.167267,-11.591011,196.175049,-10.255044,120.796036,54.369598,2649861094,1439653936,1124107024,4143918092,1120212169,3,-1.00000,0.02281, spo,0.0,-1.0,-1.0,-1.0,193.820694,-11.819018,0,1.84,0.00000,0.00000,-1.000,-1.000,1.000,59.940,25,-1
